quarter,possession_id,time,timestamp,player,event,shotclock,set,additional_tags,lineup
,110,0:50,1:28:50,2,c2z7,15,,
,111,0:24,1:29:16,-14,c2z2,5,man,
,112,0:09,1:29:30,2,c3z8m,9,,
,113,0:05,1:29:34,-14,TO,5,,
,114,0:03,1:29:37,8,c3z1m,3,,
,114,0:01,1:29:40,11,c2z1,1,,
q4,,10:00,,,sub,,,,1/2/4/9/11
q4,115,9:46,1:32:00,9,c3z1m,10,motion,
,116,9:36,1:32:10,-13,c2z9m,17,transition,
,117,9:24,1:32:22,11,c2z6m,15,transition,
,117,9:19,1:32:26,4,TO,10,,
,118,9:19,1:32:45,-11,TO,24,man,
,119,9:10,1:33:18,11,c3z1,8,motion,
,120,8:45,1:33:40,-14,c3z3,4,man,
,121,8:32,1:33:53,2,c3z3m,16,,
,122,8:22,1:34:00,-10,c3z1,19,transition,
,123,8:08,1:34:18,1,c4z3,13,wheel,
,124,7:51,1:34:35,-10,c2z8m,12,man,*
,125,7:37,1:35:05,9,c2z6m,13,,
,126,7:30,1:35:10,-10,c3z1m,21,transition,
,126,7:29,1:35:13,-21,c2z1,20,transition,
,127,7:15,1:37:00,1,c3z8m,13,motion,
,128,6:49,1:37:29,-14,c4z7m,2,man,
,129,6:45,1:37:32,9,TO,21,transition,
,130,6:35,1:37:30,-4,c4z2m,15,transition,
,131,6:29,1:37:46,4,c3z1,21,transition,
,132,6:16,1:38:00,-21,c3z1m,12,man,*slow recovery
,132,6:23,1:38:05,-21,c2z2,13,man,
,133,5:49,1:38:25,2,c4z1m,4,motion,
,133,5:46,1:38:28,9,c3z3m,1,motion,
,134,5:32,1:38:44,-14,c1z5m,12,zone,* defensive lapse
,,5:29,,,sub,,,,2/4/5/8/11
,134,5:28,1:39:35,-21,c4z4m,14,man,
,135,5:22,1:39:40,2,c3z3m,20,transition,
,135,5:09,1:39:53,11,TO,8,motion,* dommage
,136,4:56,1:40:24,-11,c4z3m,11,man,
,137,4:46,1:40:34,5,c3z2m,17,transition,
,,4:39,,,sub,,,,2/4/5/8/10
,138,4:28,1:41:21,-11,c4z2m,13,man,
,138,4:19,1:41:30,-13,c3z1m,9,man,
,139,4:03,1:41:48,2,c3z1m,10,,
,140,3:57,1:41:55,-11,c4z1m,20,transition,
,141,3:49,1:42:30,10,f,,,
,,,,10,mf,,,
,142,3:37,1:43:04,-10,TO,13,man,
,143,3:23,1:43:33,10,c2z8m,10,motion,
,143,3:19,1:43:38,4,c2z1m,11,motion,
,143,3:16,1:43:42,8,c3z1,10,motion,
,144,2:47,1:44:30,-14,c1z5,3,man,* breakdown
,145,2:22,1:44:55,10,c4z1m,3,motion,
,146,2:13,1:45:02,-11,c2z6m,19,transition,
,146,2:03,1:45:12,-14,TO,8,zone,
,147,1:51,1:47:08,5,TO,14,motion,
,148,1:39,1:47:50,-11,TO,14,zone,
,149,1:33,1:47:55,4,c4z1m,20,transition,
,149,1:31,1:47:58,11,c3z1m,17,transition,
,150,1:09,1:48:20,-14,c3z1,4,man,
,151,0:52,1:48:40,4,c2z8m,9,,
,,0:48,,,sub,,,,2/4/5/8/11
,152,0:36,1:51:05,-11,TO,3,man,
,153,0:30,1:51:15,2,f,,,
,,,,2,f,,,
,154,0:17,1:52:08,-10,c2z6m,11,man,*recovery time
,155,0:10,1:53:40,2,f,,,
,,,,2,f,,,
,156,0:06,1:56:00,-4,c2z8m,6,man,
,,0:00,,,sub,,,,
